Reciprocal In Out
1.0 5.0 0.0
11.0 15.0 1.0
5.0 6.0 1.0
1.0 2.0 1.0
25.0 21.0 9.0
7.0 13.0 0.0
1.0 8.0 0.0
7.0 10.0 1.0
1.0 2.0 1.0
6.0 17.0 2.0
25.0 22.0 8.0
10.0 10.0 0.0
0.0 1.0 0.0
2.0 12.0 1.0
14.0 8.0 1.0
4.0 4.0 1.0
74.0 39.0 75.0
0.0 1.0 0.0
10.0 15.0 7.0
5.0 8.0 1.0
3.0 7.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
3.0 5.0 0.0
5.0 3.0 1.0
0.0 0.0 0.0
15.0 18.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
16.0 13.0 1.0
13.0 13.0 3.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
1.0 23.0 1.0
7.0 13.0 18.0
4.0 5.0 1.0
15.0 26.0 14.0
14.0 17.0 28.0
1.0 2.0 0.0
1.0 5.0 0.0
0.0 0.0 0.0
1.0 3.0 0.0
1.0 1.0 0.0
16.0 11.0 49.0
0.0 1.0 0.0
3.0 5.0 0.0
0.0 1.0 0.0
1.0 2.0 0.0
2.0 18.0 0.0
61.0 27.0 108.0
1.0 2.0 0.0
9.0 9.0 0.0
6.0 29.0 50.0
0.0 1.0 0.0
43.0 28.0 19.0
1.0 2.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
1.0 4.0 0.0
4.0 28.0 1.0
1.0 0.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
10.0 22.0 34.0
0.0 1.0 0.0
31.0 39.0 4.0
1.0 5.0 0.0
1.0 3.0 0.0
7.0 7.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
2.0 2.0 0.0
1.0 2.0 0.0
1.0 10.0 4.0
3.0 2.0 0.0
1.0 1.0 0.0
19.0 45.0 18.0
9.0 7.0 1.0
50.0 13.0 1.0
